239,Momofuku Las Vegas,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Korean-American\
240,Montr\'e9al Plaza,Montreal,Quebec,OAD North America Best Restaurants,2022,2023,2024,2025,French Brasserie\
241,Mott 32,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Chinese\
242,MW Restaurant,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Modern Hawaiian\
243,Nari,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Thai\
244,Nisei,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
245,Nobu,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi - Japanese\
246,Norah,West Hollywood,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
247,O' by Claude Le Tohic,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,French\
248,Olomaie,Austin,Texas,OAD North America Best Restaurants,2022,2023,2024,2025,Southern\
249,Omakase Yume,Chicago,Illinois,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
250,Omakase Takeya,Chicago,Midwest,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
251,Orchids,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Global\
252,Origen,Oaxaca de Ju\'e1rez,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Global Cuisine\
253,Ox,Portland,Oregon,OAD North America Best Restaurants,2022,2023,2024,2025,Argentinian\
254,Park Restaurant,Westmount,Ontario,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
255,Perbacco,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
256,Picasso,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
257,Progress, The,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
258,Ray\'92s Boathouse,Seattle,Washington,OAD North America Best Restaurants,2023,2024,2025,Seafood\
259,Rich Table,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
260,Robin,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
261,Rose\'92s Luxury,Washington, DC Metro,District of Columbia,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
262,Rossoblu,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
263,Roy\'92s,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Asian Fusion\
264,Rustic Canyon,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
265,Saddle Peak Lodge,Malibu,California,OAD North America Best Restaurants,2022,2023,2024,2025,American\
266,Sakagura,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Izakaya\
267,San Ho Won,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,BBQ\
268,Shabushabu Mayumon,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Shabu Shabu\
269,Shin Sushi,Encino,California,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
270,SHOUSHIN,Toronto,Ontario,OAD North America Best Restaurants,2023,2024,2025,Japanese\
271,Siena Tavern,Chicago,Illinois,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
272,Snake River Grill,Jackson Hole,Wyoming,OAD North America Best Restaurants,2022,2023,2024,2025,American\
273,Soogil,New York,New York,OAD North America Best Restaurants,2023,2024,2025,New Korean\
274,Sparrow + Wolf,Las Vegas,Nevada,OAD North America Best Restaurants,2023,2024,2025,New American\
275,Ssal,San Francisco,California,OAD North America Best Restaurants,2024,2025,Korean\
276,Sushi By Bou,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Sushi\
277,Sushi Ginza Onodera,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
278,Sushi Ginza Onodera,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
279,Sushi Ishikawa,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
280,Sushi Izakaya Gaku,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Izakaya\
281,Sushi Kaito,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
282,Sushi Kaneyoshi,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
283,Sushi Katsuei,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
284,Sushi Masaki Saito,Toronto,Ontario,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
285,Sushi of Gari,New York,New York,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Sushi\
286,Sushi Roku,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
287,Sushi Takeda,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
288,Sweetbriar,Manhattan,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Southern\
289,Tadich Grill,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Regional American\
290,Tar & Roses,Santa Monica,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
291,The Bazaar,Miami Beach,Florida,OAD North America Best Restaurants,2022,2023,2024,2025,Progressive Spanish\
292,The Charter Oak,St. Helena,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
293,The Den at Azabu,Miami Beach,Florida,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
294,The Grill,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,American\
295,The Lobster,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Seafood\
296,Theodore Rex,Houston,Texas,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
297,Toqu\'e9,Montreal,Quebec,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,French\
298,Torien,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Yakitori\
299,Torrisi,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Italian\
300,Tsukimi,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
301,Uchiko,Austin,Texas,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,Sushi - Japanese\
302,uluh,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Szechuan\
303,Upland,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2023,2024,2025,Italian-New American\
304,Vernick Food and Drink,Philadelphia,Pennsylvania,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
305,Via Veneto,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
306,Village Pub,Woodside,California,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,New American\
307,Vintage Cave,Honolulu,United States,OAD North America Best Restaurants,2020,2021,2022,2023,2024,2025,Japanese\
308,Wallse,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,Austrian\
309,Wako,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
310,Waterbar,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,Seafood\
311,Wolfgang\'92s Steakhouse,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
312,Yakiniku Futago,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Yakiniku\
313,Yakiniku Gen,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Yakiniku\
314,Yakitori Hachibei,Lahaina,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Yakitori\
315,Yakitori Totto,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Yakitori\
316,Yolan,Nashville,Tennessee,OAD North America Best Restaurants,2023,2024,2025,New American\
317,Yopparai,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Izakaya\
318,Zahav,Philadelphia,Pennsylvania,OAD North America Best Restaurants,2022,2023,2024,2025,Israeli\
319,Zigu,Honolulu,Hawaii,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
320,Aburiya Kinnosuke,Manhattan,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Izakaya\
321,Acadia,Chicago,United States,OAD North America Best Restaurants,2019,2020,New American\
322,Agern,Manhattan,United States,OAD North America Best Restaurants,2019,2020,New Nordic\
323,Alan Wong\'92s,Honolulu,United States,OAD North America Best Restaurants,2019,2020,Hawaiian\
324,Aldea,Manhattan,United States,OAD North America Best Restaurants,2019,2020,Portugese\
325,Amaranta,Toluca,Mexico,OAD North America Best Restaurants,2022,2023,2024,2025,Mexican\
326,Amara,Miami,Florida,OAD North America Best Restaurants,2023,2024,2025,Latin American\
327,Anna Lena,Vancouver,British Columbia,OAD North America Best Restaurants,2023,2024,2025,Canadian\
328,ANQI,Costa Mesa,California,OAD North America Best Restaurants,2022,2023,2024,2025,Asian Fusion\
329,Animo,Sonoma,California,OAD North America Best Restaurants,2024,2025,Grill Restaurant\
330,Aperi,San Miguel de Allende,Mexico,OAD North America Best Restaurants,2023,2024,2025,Mexican\
331,Aphotic,San Francisco,West,OAD North America Best Restaurants,2024,2025,Seafood\
332,Arancino at The Kahala,Honolulu,Hawaii,OAD North America Best Restaurants,2023,2024,2025,Italian\
333,Aria,Atlanta,Georgia,OAD North America Best Restaurants,2023,2024,2025,Modern American\
334,Ariete,Miami,Florida,OAD North America Best Restaurants,2023,2024,2025,Modern American\
335,Armani/Ristorante,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Italian\
336,Arroyo Chop House,Pasadena,California,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
337,Arthur J.,Manhattan Beach,California,OAD North America Best Restaurants,2022,2023,2024,2025,Steak\
338,Audrey,Nashville,Tennessee,OAD North America Best Restaurants,2023,2024,2025,Progressive\
339,Au Pied de Cochon,Mexico City,Mexico,OAD North America Best Restaurants,2023,2024,2025,French\
340,Avery - Permanently closed,San Francisco,California,OAD North America Best Restaurants,2019,2020,Japanese\
341,Aziza,San Francisco,California,OAD North America Best Restaurants,2024,2025,New American/Moroccan\
342,Babu Ji,Manhattan,United States,OAD North America Best Restaurants,2019,2020,Indian\
343,Bacchanalia,Atlanta,Georgia,OAD North America Best Restaurants,2024,2025,New American\
344,Bad Roman,New York,New York,OAD North America Best Restaurants,2024,2025,Italian\
345,Bakea,Mexico City,Mexico,OAD North America Best Restaurants,2023,2024,2025,French\
346,Baltaire,Brentwood,California,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
347,Barndiva,Healdsburg,California,OAD North America Best Restaurants,2023,2024,2025,New American\
348,Bar Maze,Honolulu,Hawaii,OAD North America Best Restaurants,2023,2024,2025,Cocktail Bar-Omakase\
349,Bateau,Seattle,Washington,OAD North America Best Restaurants,2023,2024,2025,Seafood\
350,Bayona,New Orleans,Louisiana,OAD North America Best Restaurants,2019,2020,2024,2025,New American\
351,Baum\'e9,Palo Alto,United States,OAD North America Best Restaurants,2019,2020,Modern French\
352,Beauty & Essex,New York,New York,OAD North America Best Restaurants,2024,2025,New American\
353,Beast,Portland,United States,OAD North America Best Restaurants,2019,2020,Pacific Northwestern\
354,Beatrice Inn,Manhattan,United States,OAD North America Best Restaurants,2019,2020,Steak-French\
355,Bell\'92s,Los Alamos,California,OAD North America Best Restaurants,2022,2023,2024,2025,Californian\
356,Benjamin Steak House,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Steakhouse\
357,Bernini Honolulu,Wailea,Hawaii,OAD North America Best Restaurants,2023,2024,2025,Italian\
358,Bestia,Los Angeles,California,OAD North America Best Restaurants,2022,2023,Italian\
359,Birch,Providence,United States,OAD North America Best Restaurants,2019,2020,Progressive American\
360,Blackbird,Chicago,United States,OAD North America Best Restaurants,2019,2020,New American\
361,Blue Duck Tavern,Washington, D.C.,United States,OAD North America Best Restaurants,2019,2020,2024,2025,American\
362,Blue Ribbon Sushi Bar & Grill,Las Vegas,Nevada,OAD North America Best Restaurants,2024,2025,Japanese\
363,BOEHMER RESTAURANT,Toronto,Ontario,OAD North America Best Restaurants,2024,2025,Canadian\
364,Bond Street,New York,New York,OAD North America Best Restaurants,2024,2025,Sushi\
365,Bouley at Home,Manhattan,United States,OAD North America Best Restaurants,2019,2020,French\
366,BRUT\'d8,Denver,Colorado,OAD North America Best Restaurants,2024,2025,Modern American\
367,Cafe Carmellini,New York,New York,OAD North America Best Restaurants,2025,Italian\
368,Cafe Boulud,Manhattan,United States,OAD North America Best Restaurants,2020,2021,2022,French\
369,Camphor,Los Angeles,California,OAD North America Best Restaurants,2024,2025,French-Asian\
370,C\'e9sar,New York,New York,OAD North America Best Restaurants,2025,French/Japanese\
371,Chambar Belgian Restaurant,Vancouver,British Columbia,OAD North America Best Restaurants,2024,2025,Belgian\
372,Charcut Roast House,Calgary,Alberta,OAD North America Best Restaurants,2024,2025,Canadian\
373,Charleston,Baltimore,Maryland,OAD North America Best Restaurants,2024,2025,New American\
374,Chez Noir,Carmel-by-the Sea,California,OAD North America Best Restaurants,2024,2025,French\
375,Chica,Las Vegas,Nevada,OAD North America Best Restaurants,2023,2024,2025,Latin\
376,Cioppino\'92s Mediterranean Grill,Vancouver,British Columbia,OAD North America Best Restaurants,2022,2023,2024,2025,Mediterranean\
377,Citrin Restaurant,Santa Monica,California,OAD North America Best Restaurants,2024,2025,Californian\
378,Club Chasse et P\'eache,Montreal,Quebec,OAD North America Best Restaurants,2024,2025,French\
379,Clover Hill,Brooklyn,New York,OAD North America Best Restaurants,2025,New American\
380,COQODAQ,New York,New York,OAD North America Best Restaurants,2025,Korean Fried Chicken\
381,Corima,New York,New York,OAD North America Best Restaurants,2025,Mexican\
382,Counter-,Charlotte,North Carolina,OAD North America Best Restaurants,2025,New American\
383,Coi - closed,San Francisco,California,OAD North America Best Restaurants,2019,2020,Progressive American\
384,Commonwealth,San Francisco,United States,OAD North America Best Restaurants,2019,2020,New American\
385,Contra - Closed,Manhattan,United States,OAD North America Best Restaurants,2019,2020,Progressive American\
386,Craigie on Main,Cambridge,United States,OAD North America Best Restaurants,2019,2020,New American\
387,Dante,Cleveland,United States,OAD North America Best Restaurants,2019,2020,New American\
388,Del Posto,Manhattan,United States,OAD North America Best Restaurants,2019,2020,Italian\
389,DDOBAR by Joomak NYC,New York,New York,OAD North America Best Restaurants,2025,Korean\
390,Delilah,Las Vegas,Nevada,OAD North America Best Restaurants,2024,2025,American\
391,Don Alfonso 1890,Toronto,Ontario,OAD North America Best Restaurants,2023,2024,2025,Italian\
392,DRAGO Centro,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
393,El Gaucho,Seattle,Washington,OAD North America Best Restaurants,2025,Argentinian Steakhouse\
394,Em,Mexico City,Mexico,OAD North America Best Restaurants,2024,2025,Mexican\
395,Empellon,New York,New York,OAD North America Best Restaurants,2022,Mexican\
396,Europea,Montreal,Canada,OAD North America Best Restaurants,2019,2020,French\
397,Farmhouse Inn Restaurant,Forestville,United States,OAD North America Best Restaurants,2019,2020,New American\
398,Ferreira Caf\'e9,Montreal,Quebec,OAD North America Best Restaurants,2025,Seafood\
399,Five & Ten,Atlanta,Georgia,OAD North America Best Restaurants,2024,2025,American\
400,Flora Bar,Manhattan,United States,OAD North America Best Restaurants,2019,2020,New American\
401,Forsythia,Manhattan,New York,OAD North America Best Restaurants,2024,2025,Italian\
402,FRILU,Thornhill,Ontario,OAD North America Best Restaurants,2024,2025,Canadian\
403,Genki Omakase,New York,New York,OAD North America Best Restaurants,2025,Sushi\
404,George\'92s California Modern,La Jolla,United States,OAD North America Best Restaurants,2019,2020,New American\
405,Gyu-Kaku Japanese BBQ,Beverly Hills,California,OAD North America Best Restaurants,2024,2025,Yakiniku\
406,Hags,New York,New York,OAD North America Best Restaurants,2025,New American\
407,Hakkasan,Miami Beach,United States,OAD North America Best Restaurants,2019,2020,Chinese\
408,Hakkasan,San Francisco,United States,OAD North America Best Restaurants,2019,2020,Chinese\
409,Hamasaku,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Sushi\
410,Harvest by Roy Ellamar,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Modern American\
411,Hatchet Hall - Closed,Culver City,California,OAD North America Best Restaurants,2023,2024,2025,New American\
412,Hen of the Wood,Waterbury,Vermont,OAD North America Best Restaurants,2022,2023,2024,New American\
413,Hidden Omakase,Houston,Texas,OAD North America Best Restaurants,2024,2025,Sushi\
414,Hoku\'92s,Honolulu,Hawaii,OAD North America Best Restaurants,2023,2024,2025,Pacific Rim\
415,House Restaurant,Brooklyn,New York,OAD North America Best Restaurants,2024,2025,Japanese\
416,Hugo\'92s - Closed,Portland,Maine,OAD North America Best Restaurants,2019,2020,2021,Progressive American\
417,Husk,Columbus,Georgia,OAD North America Best Restaurants,2022,2023,2024,Southern\
418,Husk Nashville,Nashville,Tennessee,OAD North America Best Restaurants,2022,Southern\
419,I Sodi,New York,New York,OAD North America Best Restaurants,2022,Italian\
420,Icca,New York,New York,OAD North America Best Restaurants,2024,2025,Japanese\
421,Ilis,Brooklyn,New York,OAD North America Best Restaurants,2024,2025,Nordic\
422,In Situ - Closed,San Francisco,United States,OAD North America Best Restaurants,2019,2020,2021,Eclectic\
423,Jar,West Hollywood,California,OAD North America Best Restaurants,2023,2024,2025,American\
424,Jeffrey\'92s,Austin,Texas,OAD North America Best Restaurants,2024,2025,French - Steakhouuse\
425,Jeong Yuk Jeom,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Korean\
426,Joe\'92s Seafood, Prime Steak & Stone Crab,Chicago,Illinois,OAD North America Best Restaurants,2022,2023,2024,2025,Seafood-Steaks\
427,Joe\'92s Stone Crabs,Miami Beach,Florida,OAD North America Best Restaurants,2022,Seafood\
428,Joji,New York,New York,OAD North America Best Restaurants,2024,2025,Sushi\
429,Joo Ok,New York,New York,OAD North America Best Restaurants,2025,Modern Korean\
430,Jupiter,New York,New York,OAD North America Best Restaurants,2024,2025,Italian\
431,Kai,Chandler,Arizona,OAD North America Best Restaurants,2025,New American\
432,Kai Zan,Chicago,Illinois,OAD North America Best Restaurants,2024,2025,Sushi\
433,Kame,Las Vegas,Nevada,OAD North America Best Restaurants,2025,Sushi\
434,Kappo Sono,New York,New York,OAD North America Best Restaurants,2023,2024,2025,Japanese\
435,Kaz Sushi Bistro,Washington,District of Columbia,OAD North America Best Restaurants,2023,2024,2025,Sushi\
436,KEN,San Francisco,California,OAD North America Best Restaurants,2024,2025,Sushi\
437,Kiln,San Francisco,California,OAD North America Best Restaurants,2024,2025,New American\
438,KinKan LA,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Japanese-Thai\
439,Kinship,Washington, DC Metro,District of Columbia,OAD North America Best Restaurants,2023,2024,2025,Modern American\
440,Koi,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Asian Fusion\
441,L'Atelier de Joel Robuchon - Closed,Manhattan,United States,OAD North America Best Restaurants,2019,2020,2021,French\
442,L'Atelier de Jo\'ebl Robuchon,Miami,Florida,OAD North America Best Restaurants,2023,2024,2025,French\
443,La Docena,Mexico City,Mexico,OAD North America Best Restaurants,2020,2021,Raw Bar\
444,Lago by Julian Serrano,Las Vegas,Nevada,OAD North America Best Restaurants,2024,2025,Italian\
445,La Mar (Closed),Miami,Florida,OAD North America Best Restaurants,2019,2020,2021,Peruvian\
446,Lazy Betty,Atlanta,Georgia,OAD North America Best Restaurants,2024,2025,New American\
447,Le Jardinier,Miami,Florida,OAD North America Best Restaurants,2024,2025,French\
448,Lengua Madre,New Orleans,Louisiana,OAD North America Best Restaurants,2024,2025,Mexican\
449,Leku - Closed,Miami,Florida,OAD North America Best Restaurants,2022,2023,2024,2025,Spanish\
450,Little Pearl,Washington, DC Metro,District of Columbia,OAD North America Best Restaurants,2024,2025,American\
451,Lobby Bar at the Peninsula,Chicago,Illinois,OAD North America Best Restaurants,2023,2024,2025,Modern American\
452,Loring Place,New York,United States,OAD North America Best Restaurants,2019,2020,2021,2022,New American\
453,Luce,San Francisco,West,OAD North America Best Restaurants,2024,2025,New American\
454,Lure Fishbar,New York,New York,OAD North America Best Restaurants,2024,2025,Seafood\
455,MAASS,Fort Lauderdale,Florida,OAD North America Best Restaurants,2025,Modern American\
456,Madera,Menlo Park,California,OAD North America Best Restaurants,2024,2025,Californian\
457,Maligne,Seaside,California,OAD North America Best Restaurants,2024,2025,Contemporary Seafood\
458,Manresa - Closed,Los Gatos,California,OAD North America Best Restaurants,2019,2020,2021,Progressive American\
459,Manzke,Los Angeles,California,OAD North America Best Restaurants,2024,2025,New American\
460,Mari,Manhattan,New York,OAD North America Best Restaurants,2024,2025,Korean Handroll\
461,Maru Sushi,Honolulu,Hawaii,OAD North America Best Restaurants,2023,2024,2025,Sushi\
462,Masayoshi,Vancouver,British Columbia,OAD North America Best Restaurants,2023,2024,2025,Sushi\
463,Mat\uc0\u363 ,Beverly Hills,California,OAD North America Best Restaurants,2024,2025,Japanese Steakhouse\
464,Maude - Closed,Beverly Hills,California,OAD North America Best Restaurants,2019,2020,2021,New American\
465,Meteora,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Grill Restaurant\
466,Micaela Mar & Le\'f1a,Merida,Mexico,OAD North America Best Restaurants,2025,Mexican\
467,Mifune - Closed,Manhattan,New York,OAD North America Best Restaurants,2019,2020,2023,2024,2025,Japanese\
468,Mijote,San Francisco,California,OAD North America Best Restaurants,2024,2025,French\
469,Monkey Bar,New York,New York,OAD North America Best Restaurants,2025,American\
470,Mori Sushi,Los Angeles,California,OAD North America Best Restaurants,2019,2020,2021,2024,Sushi\
471,Morihiro,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Sushi\
472,Morimoto,Las Vegas,Nevada,OAD North America Best Restaurants,2024,2025,Sushi\
473,Morimoto,Philadelphia,Pennsylvania,OAD North America Best Restaurants,2023,2024,2025,Japanese\
474,Morimoto,Wailea,Hawaii,OAD North America Best Restaurants,2024,2025,Sushi\
475,Mr. Chow,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Chinese\
476,M. Wells Steakhouse - Closed,Queens,New York,OAD North America Best Restaurants,2022,Steakhouse\
477,Naoe,Miami,Florida,OAD North America Best Restaurants,2022,2023,2024,2025,Sushi\
478,Naro,New York,New York,OAD North America Best Restaurants,2024,2025,Modern Korean\
479,Nikutei Futago,New York,New York,OAD North America Best Restaurants,2025,Japanese\
480,Nobu Malibu,Malibu,California,OAD North America Best Restaurants,2024,2025,Sushi - Japanese\
481,Nobu Miami Beach,Miami Beach,Florida,OAD North America Best Restaurants,2024,2025,Sushi - Japanese\
482,Nobu Palo Alto,Palo Alto,California,OAD North America Best Restaurants,2025,Sushi - Japanese\
483,Nobu West Hollywood,Los Angeles,California,OAD North America Best Restaurants,2024,2025,Sushi - Japanese\
484,N\uc0\u333 ksu,New York,New York,OAD North America Best Restaurants,2024,2025,Modern Korean\
485,Nougatine,New York,New York,OAD North America Best Restaurants,2024,2025,French\
486,Nudibranch,New York,New York,OAD North America Best Restaurants,2024,2025,Modern American\
487,Nusr-Et Beverly Hills,Beverly Hills,California,OAD North America Best Restaurants,2025,Steakhouse\
488,Obelix,Chicago,Illinois,OAD North America Best Restaurants,2024,2025,French\
489,Oishii Boston,Boston,New England,OAD North America Best Restaurants,2024,2025,Sushi\
490,Okta,Portland,Oregon,OAD North America Best Restaurants,2024,2025,Progressive\
491,Omakase,San Francisco,United States,OAD North America Best Restaurants,2019,2020,2021,Japanese\
492,Omakase Room by Tatsu,New York,United States,OAD North America Best Restaurants,2020,2021,Sushi\
493,Osteria Morini - Closed,Manhattan,New York,OAD North America Best Restaurants,2022,Italian\
494,Otoko,Austin,Texas,OAD North America Best Restaurants,2024,2025,Sushi\
495,Oyster Oyster,Washington, DC Metro,District of Columbia,OAD North America Best Restaurants,2024,2025,New American\
496,Pabu,San Francisco,California,OAD North America Best Restaurants,2024,2025,Izakaya\
497,PAI Honolulu,Honolulu,Hawaii,OAD North America Best Restaurants,2023,2024,2025,New American\
498,Peak,New York,New York,OAD North America Best Restaurants,2024,2025,New American\
499,Peninsula Grille,Charleston,South Carolina,OAD North America Best Restaurants,2023,2024,2025,New American\
500,Petit Trois,Los Angeles,California,OAD North America Best Restaurants,2022,2023,2024,2025,French Bistro\
501,Petrossian,Manhattan,New York,OAD North America Best Restaurants,2023,2024,2025,Caviar-French\
502,Petrossian Paris Boutique & Caf\'e9,Los Angeles,California,OAD North America Best Restaurants,2023,2024,2025,Caviar-French\
503,Polo Lounge,Beverly Hills,California,OAD North America Best Restaurants,2023,2024,2025,American\
504,Porto (Closed),Chicago,Illinois,OAD North America Best Restaurants,2022,Portugese\
505,Post Hotel Dining Room,Lake Louise,Alberta,OAD North America Best Restaurants,2023,2024,2025,Canadian\
506,Primo,Rockland,Maine,OAD North America Best Restaurants,2025,Italian\
507,Principe,New York,Mid-Atlantic States,OAD North America Best Restaurants,2024,2025,Seafood\
508,Progress, The,San Francisco,California,OAD North America Best Restaurants,2022,2023,2024,2025,New American\
509,Rainbow Lodge,Houston,Texas,OAD North America Best Restaurants,2024,2025,American\
510,Raymond\'92s Restaurant,St. John's,Canada,OAD North America Best Restaurants,2019,2020,2021,Progressive Canadian\
511,Ranzan,redwood city,California,OAD North America Best Restaurants,2024,2025,Kaiseki\
512,Ray\'92s Boathouse,Seattle,Washington,OAD North America Best Restaurants,2023,2024,2025,Seafood\
513,Regalis,New York,New York,OAD North America Best Restaurants,2024,2025,Progressive American\
514,Reposado,Palo Alto,California,OAD North America Best Restaurants,2024,2025,Mexican\
515,Restaurant at Meadowood, The,St. Helena,United States,OAD North America Best Restaurants,2019,2020,2021,New American\
516,Restaurant Eugene,Atlanta,United States,OAD North America Best Restaurants,2019,2020,2021,New Southern\
517,Restaurant Martin,Santa Fe,New Mexico,OAD North America Best Restaurants,2024,New American\
518,Republica,Portland,Oregon,OAD North America Best Restaurants,2024,2025,Mexican\
519,Rivea,Las Vegas,Nevada,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
520,Rogue Experience,West Hollywood,United States,OAD North America Best Restaurants,2019,2020,2021,New American\
521,Rosella,New York,New York,OAD North America Best Restaurants,2024,2025,Sushi\
522,Roscioli NYC,New York,New York,OAD North America Best Restaurants,2024,2025,Italian\
523,Rule Of Thirds,Brooklyn,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Japanese\
524,Salt + Charcoal,Brooklyn,New York,OAD North America Best Restaurants,2024,2025,Japanese Steakhouse\
525,Saru Sushi Bar,San Francisco,California,OAD North America Best Restaurants,2023,2024,2025,Sushi\
526,Scalinatella,New York,New York,OAD North America Best Restaurants,2022,2023,2024,2025,Italian\
527,Scopa Italian Roots,Venice,California,OAD North America Best Restaurants,2024,2025,Italian\
528,Scratch Bar & Kitchen,Encino,United States,OAD North America Best Restaurants,2019,2020,2021,Progressive American\
529,Selby's,redwood city,California,OAD North America Best Restaurants,2024,2025,American\
530,Semma,New York,New York,OAD North America Best Restaurants,2024,2025,Indian\
531,Sepia,Chicago,Illinois,OAD North America Best Restaurants,2020,2021,2022,2024,2025,American\
532,Shabu-Tatsu,New York,New York,OAD North America Best Restaurants,2022,Shabu Shabu\
533,Shinn East,New York,New York,OAD North America Best Restaurants,2025,Sushi\
534,Shun Lee West,New York,New York,OAD North America Best Restaurants,2024,2025,Chinese\
535,Sierra Mar,Big Sur,California,OAD North America Best Restaurants,2019,2020,2021,2023,2024,2025,New American\
536,Silver Apricot,New York,Mid-Atlantic States,OAD North America Best Restaurants,2024,2025,American\
537,Sinatra,Las Vegas,Nevada,OAD North America Best Restaurants,2024,2025,Italian\
538,Somni,Los Angeles,United States,OAD North America Best Restaurants,2019,2020,2021,2022,2024,2025,Molecular (Confirmed Open & 3 Michelin Stars in 2025)\
